,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
99,2017Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,17.75 Lakh*,2017,Dealer,"50,314 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats7,,,
100,2016Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,18.25 Lakh*,2016,Dealer,"94,000 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
101,2018Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,24 Lakh*,2018,Dealer,"26,000 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
102,2016Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,17 Lakh*,2016,Dealer,"32,098 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
103,2017Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,19.5 Lakh*,2017,Dealer,"84,748 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
104,2017Toyota Innova Crysta 2.4 GX MT BSIV,Toyota,16.75 Lakh*,2017,Dealer,"65,177 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats7,,,
105,2017Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,17.35 Lakh*,2017,Dealer,"65,324 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
106,2016Toyota Innova Crysta 2.4 GX MT 8S BSIV,Toyota,15.95 Lakh*,2016,Dealer,"63,540 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats8,,,
107,2016Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,17 Lakh*,2016,Dealer,"75,000 kms",First Owner,Diesel,Manual,Variant -  2.4 VX MT BSIV,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats7,,
108,2016Toyota Innova Crysta 2.7 GX MT BSIV,Toyota,12.5 Lakh*,2016,Dealer,"82,902 kms",First Owner,Petrol,Manual,Variant -  2.7 GX MT BSIV,Mileage11.25 kmpl,Engine2694 CC,Max Power163.7 bhp,Torque245Nm@ 4000rpm,Wheel SizeN/A,Seats7,,
109,2017Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,18 Lakh*,2017,Dealer,"22,327 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
110,2017Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,18.25 Lakh*,2017,Dealer,"54,011 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats7,,,
111,2016Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,16 Lakh*,2016,Dealer,"55,185 kms",Second Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
112,2017Toyota Fortuner 4x4 MT,Toyota,32 Lakh*,2017,Dealer,"63,000 kms",First Owner,Diesel,Manual,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Torque343Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,,,
113,2016Toyota Innova Crysta 2.4 ZX MT BSIV,Toyota,18.25 Lakh*,2016,Dealer,"55,133 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats7,,,
114,2016Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,16.75 Lakh*,2016,Dealer,"27,976 kms",Second Owner,Diesel,Automatic,Variant -  2.8 GX AT BSIV,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,
115,2018Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,19 Lakh*,2018,Dealer,"51,250 kms",First Owner,Diesel,Automatic,Variant -  2.8 ZX AT BSIV,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,
116,2016Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,18.75 Lakh*,2016,Dealer,"44,947 kms",Second Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
117,2016Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,18.25 Lakh*,2016,Dealer,"69,669 kms",Second Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
118,2018Toyota Etios Cross 1.4L GD,Toyota,6.3 Lakh*,2018,Individual,"55,000 kms",First Owner,Diesel,Manual,Mileage23.59 kmpl,Engine1364 CC,Max Power67.06 bhp,Torque170Nm@ 1800-2400rpm,Wheel SizeN/A,Seats5,,,
119,2016Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,18.5 Lakh*,2016,Dealer,"44,844 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
120,2014Toyota Etios Liva VX,Toyota,5.65 Lakh*,2014,Dealer,"22,080 kms",First Owner,Petrol,Manual,Variant -  VX,Mileage18.3 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque104Nm@ 3100rpm,Wheel SizeN/A,Seats5,,
121,2017Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,17.75 Lakh*,2017,Dealer,"53,544 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
122,2016Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,18.75 Lakh*,2016,Dealer,"31,096 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
123,2016Toyota Etios Liva VX,Toyota,5.5 Lakh*,2016,Dealer,"40,808 kms",Second Owner,Petrol,Manual,Mileage17.71 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque104Nm@ 3100rpm,Wheel SizeN/A,Seats5,,,
124,2011Toyota Fortuner 3.0 Diesel,Toyota,11.75 Lakh*,2011,Dealer,"1,37,000 kms",Second Owner,Diesel,Manual,Mileage11.5 kmpl,Engine2982 CC,Max Power171 bhp,Torque343Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,,,
125,2017Toyota Fortuner 4x4 AT,Toyota,29.5 Lakh*,2017,Dealer,"80,000 kms",First Owner,Diesel,Automatic,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Torque360Nm@ 1400-3200rpm,Wheel SizeN/A,Seats7,,,
126,2017Toyota Corolla Altis 1.8 G CVT,Toyota,15.5 Lakh*,2017,Dealer,"10,854 kms",First Owner,Petrol,Automatic,Mileage14.28 kmpl,Engine1798 CC,Max Power138.03 bhp,Torque173Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
127,2017Toyota Innova Crysta 2.4 G MT 8S BSIV,Toyota,17.85 Lakh*,2017,Dealer,"68,600 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats8,,,
128,2016Toyota Corolla Altis 1.8 VL CVT,Toyota,12.5 Lakh*,2016,Dealer,"60,678 kms",First Owner,Petrol,Automatic,Mileage14.28 kmpl,Engine1798 CC,Max Power138.03 bhp,Torque173Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
129,2019Toyota Innova Crysta 2.4 VX MT 8 STR,Toyota,19 Lakh*,2019,Dealer,"31,008 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.51 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats8,,,
130,2008Toyota Innova 2.5 V Diesel 8-seater,Toyota,6.25 Lakh*,2008,Dealer,"2,20,000 kms",Second Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Torque20.4@ 1400-3400(kgm@ rpm),Wheel SizeN/A,Seats8,,,
131,2008Toyota Innova 2.5 G4 Diesel 7-seater,Toyota,5.5 Lakh*,2008,Dealer,"1,21,000 kms",Fourth & Above Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Torque20.4@ 1400-3400(kgm@ rpm),Wheel SizeN/A,Seats7,,,
132,2012Toyota Fortuner 4x4 MT,Toyota,15.8 Lakh*,2012,Dealer,"1,00,000 kms",Second Owner,Diesel,Manual,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Torque343Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,,,
133,2013Toyota Fortuner 4x2 AT,Toyota,17 Lakh*,2013,Dealer,"1,34,000 kms",Second Owner,Diesel,Automatic,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Torque360Nm@ 1400-3200rpm,Wheel SizeN/A,Seats7,,,
134,2017Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,19 Lakh*,2017,Dealer,"57,473 kms",First Owner,Diesel,Automatic,Variant -  2.8 ZX AT BSIV,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,
135,2008Toyota Innova 2.5 V Diesel 7-seater,Toyota,6.75 Lakh*,2008,Dealer,"1,36,000 kms",Second Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Torque20.4@ 1400-3400(kgm@ rpm),Wheel SizeN/A,Seats7,,,
136,2013Toyota Innova 2.5 V Diesel 7-seater,Toyota,10.25 Lakh*,2013,Dealer,"1,75,000 kms",Second Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Torque20.4@ 1400-3400(kgm@ rpm),Wheel SizeN/A,Seats7,,,
137,2018Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,17.25 Lakh*,2018,Dealer,"23,974 kms",Second Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
138,2015Toyota Fortuner 4x2 AT,Toyota,23.5 Lakh*,2015,Dealer,"49,200 kms",First Owner,Diesel,Automatic,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Torque360Nm@ 1400-3200rpm,Wheel SizeN/A,Seats7,,,
139,2015Toyota Innova 2.5 V Diesel 7-seater,Toyota,13.75 Lakh*,2015,Dealer,"1,13,000 kms",Second Owner,Diesel,Manual,Variant -  2.5 V Diesel 7-seater,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Torque20.4@ 1400-3400(kgm@ rpm),Wheel SizeN/A,Seats7,,
140,2013Toyota Innova 2.5 V Diesel 7-seater,Toyota,10.95 Lakh*,2013,Dealer,"1,77,000 kms",First Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Torque20.4@ 1400-3400(kgm@ rpm),Wheel SizeN/A,Seats7,,,
141,2017Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,17.5 Lakh*,2017,Dealer,"55,626 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
142,2015Toyota Innova 2.5 V Diesel 7-seater,Toyota,14.5 Lakh*,2015,Dealer,"91,000 kms",First Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Torque20.4@ 1400-3400(kgm@ rpm),Wheel SizeN/A,Seats7,,,
143,2017Toyota Innova Crysta 2.4 ZX MT BSIV,Toyota,17 Lakh*,2017,Dealer,"74,000 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats7,,,
144,2012Toyota Innova 2.5 GX (Diesel) 7 Seater,Toyota,8.75 Lakh*,2012,Dealer,"1,61,000 kms",Third Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100 bhp,Torque200Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,,,
145,2016Toyota Etios GD,Toyota,6 Lakh*,2016,Individual,"1,00,000 kms",First Owner,Diesel,Manual,Variant -  GD,Mileage23.59 kmpl,Engine1364 CC,Max Power67.05 bhp,Torque170Nm@ 1800-2400rpm,Wheel Size14,Seats5,,
146,2018Toyota Innova Crysta 2.4 GX AT,Toyota,18.65 Lakh*,2018,Dealer,"11,148 kms",First Owner,Diesel,Automatic,Mileage13.68 kmpl,Engine2393 CC,Max Power147.51 bhp,Torque360Nm@ 1400-2600rpm,Wheel SizeN/A,Seats7,,,
147,2015Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,Skoda,5.85 Lakh*,2015,Dealer,"56,000 kms",First Owner,Petrol,Manual,Mileage15.0 kmpl,Engine1598 CC,Max Power103.52 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,,,
148,2013Skoda Yeti Elegance 4X4,Skoda,8.9 Lakh*,2013,Dealer,"25,000 kms",First Owner,Diesel,Manual,Mileage17.67 kmpl,Engine1968 CC,Max Power138.1 bhp,Torque320Nm@ 1750-2500rpm,Wheel Size7.0J X 16,Seats5,,,
149,2017Skoda Octavia 2.0 TDI AT Style Plus,Skoda,17.9 Lakh*,2017,Dealer,"26,000 kms",First Owner,Diesel,Automatic,Variant -  2.0 TDI AT Style Plus,Mileage19.5 kmpl,Engine1968 CC,Max Power141 bhp,Torque320Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,,
150,2014Skoda Rapid 1.5 TDI Elegance,Skoda,5.85 Lakh*,2014,Dealer,"64,000 kms",First Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
151,2018Skoda Rapid 1.5 TDI AT Ambition BSIV,Skoda,8.9 Lakh*,2018,Dealer,"55,000 kms",First Owner,Diesel,Automatic,Mileage21.72 kmpl,Engine1498 CC,Max Power108.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
152,2017Skoda Rapid 1.5 TDI AT Ambition Plus,Skoda,8.75 Lakh*,2017,Dealer,"37,000 kms",First Owner,Diesel,Automatic,Mileage21.66 kmpl,Engine1498 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size6.0J X 15,Seats5,,,
153,2012Skoda Rapid 1.6 TDI Ambition,Skoda,4.25 Lakh*,2012,Dealer,"88,244 kms",First Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1598 CC,Max Power103.5 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size5.0j  x 14,Seats5,,,
154,2015Skoda Rapid 1.6 MPI AT Elegance Plus,Skoda,7 Lakh*,2015,Dealer,"36,000 kms",First Owner,Petrol,Automatic,Mileage14.3 kmpl,Engine1598 CC,Max Power103.52 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,,,
155,2017Skoda Rapid 1.5 TDI Elegance,Skoda,6.25 Lakh*,2017,Dealer,"52,000 kms",First Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
156,2014Skoda Rapid 1.6 MPI Elegance Plus,Skoda,5.4 Lakh*,2014,Dealer,"57,000 kms",First Owner,Petrol,Manual,Mileage15.0 kmpl,Engine1598 CC,Max Power103.52 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,,,
157,2014Skoda Octavia 2.0 TDI AT Style,Skoda,12.45 Lakh*,2014,Dealer,"66,000 kms",First Owner,Diesel,Automatic,Mileage19.5 kmpl,Engine1968 CC,Max Power141 bhp,Torque320Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,,,
158,2015Skoda Rapid 1.5 TDI AT Ambition Plus,Skoda,7.25 Lakh*,2015,Dealer,"79,100 kms",First Owner,Diesel,Automatic,Mileage21.66 kmpl,Engine1498 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size6.0J X 15,Seats5,,,
159,2017Skoda Rapid 1.5 TDI AT Style BSIV,Skoda,10.95 Lakh*,2017,Dealer,"47,000 kms",First Owner,Diesel,Automatic,Mileage21.72 kmpl,Engine1498 CC,Max Power108.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
160,2015Skoda Octavia Elegance 1.8 TSI AT,Skoda,14 Lakh*,2015,Dealer,"32,922 kms",First Owner,Petrol,Automatic,Variant -  Elegance 1.8 TSI AT,Mileage14.7 kmpl,Engine1798 CC,Max Power177.5 bhp,Torque250Nm@ 1250-5000rpm,Wheel SizeN/A,Seats5,,
161,2014Skoda Octavia Ambition 2.0 TDI AT,Skoda,11.2 Lakh*,2014,Dealer,"55,000 kms",First Owner,Diesel,Automatic,Mileage19.3 kmpl,Engine1968 CC,Max Power141 bhp,Torque320Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,,,
162,2014Skoda Octavia Ambition 2.0 TDI AT,Skoda,13.95 Lakh*,2014,Dealer,"59,600 kms",Second Owner,Diesel,Automatic,Variant -  Ambition 2.0 TDI AT,Mileage19.3 kmpl,Engine1968 CC,Max Power141 bhp,Torque320Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,,
163,2013Skoda Rapid 1.5 TDI Active,Skoda,4.95 Lakh*,2013,Dealer,"72,000 kms",First Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size15,Seats5,,,
164,2017Skoda Octavia 1.8 TSI AT Style Plus,Skoda,16.35 Lakh*,2017,Dealer,"29,000 kms",First Owner,Petrol,Automatic,Variant -  1.8 TSI AT Style Plus,Mileage15.1 kmpl,Engine1798 CC,Max Power177 bhp,Torque250Nm@ 1250-5000rpm,Wheel SizeN/A,Seats5,,
165,2017Skoda Octavia 1.8 TSI AT Style Plus,Skoda,17.2 Lakh*,2017,Dealer,"31,000 kms",First Owner,Petrol,Automatic,Mileage15.1 kmpl,Engine1798 CC,Max Power177 bhp,Torque250Nm@ 1250-5000rpm,Wheel SizeN/A,Seats5,,,
166,2017Skoda Rapid 1.5 TDI AT Style BSIV,Skoda,11.35 Lakh*,2017,Dealer,"28,000 kms",First Owner,Diesel,Automatic,Mileage21.72 kmpl,Engine1498 CC,Max Power108.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
167,2015Skoda Rapid 1.5 TDI Ambition Plus,Skoda,6.75 Lakh*,2015,Dealer,"38,000 kms",First Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size6.0J X 15,Seats5,,,
168,2013Skoda Laura 1.9 TDI MT Ambiente,Skoda,6.5 Lakh*,2013,Dealer,"1,02,000 kms",Second Owner,Diesel,Manual,Mileage17.0 kmpl,Engine1896 CC,Max Power105 bhp,Torque250Nm@ 1900rpm,Wheel Size6.5J x 15,Seats5,,,
169,2012Skoda Laura Ambition 2.0 TDI CR MT,Skoda,6.5 Lakh*,2012,Dealer,"78,000 kms",First Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1968 CC,Max Power108.5 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size6.5J x 16,Seats5,,,
170,2014Skoda Octavia Ambition 2.0 TDI MT,Skoda,11.75 Lakh*,2014,Dealer,"56,000 kms",First Owner,Diesel,Manual,Mileage20.6 kmpl,Engine1968 CC,Max Power141 bhp,Torque320Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,,,
171,2011Skoda Fabia 1.2 TDI Active Plus,Skoda,2.85 Lakh*,2011,Dealer,"63,000 kms",Second Owner,Diesel,Manual,Mileage20.86 kmpl,Engine1199 CC,Max Power75 bhp,Torque180Nm@ 2000rpm,Wheel Size5.0J X 14,Seats5,,,
172,2010Skoda Superb Elegance 1.8 TSI MT,Skoda,5.76 Lakh*,2010,Dealer,"68,000 kms",First Owner,Petrol,Manual,Mileage13.1 kmpl,Engine1798 CC,Max Power157.75 bhp,Torque250Nm@ 1500-4500rpm,Wheel SizeN/A,Seats5,,,
173,2009Skoda Laura 1.9 TDI AT Elegance,Skoda,4.75 Lakh*,2009,Dealer,"96,872 kms",Second Owner,Diesel,Automatic,Variant -  1.9 TDI AT Elegance,Mileage17.0 kmpl,Engine1896 CC,Max Power105 bhp,Torque250Nm@ 1900rpm,Wheel Size6.5J x 16,Seats5,,
174,2011Skoda Yeti Ambition 4X2,Skoda,6.35 Lakh*,2011,Dealer,"90,000 kms",First Owner,Diesel,Manual,Mileage17.72 kmpl,Engine1968 CC,Max Power108.49 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size7.0J X 16,Seats5,,,
175,2014Skoda Octavia Elegance 2.0 TDI AT,Skoda,12.25 Lakh*,2014,Dealer,"66,000 kms",First Owner,Diesel,Automatic,Mileage19.3 kmpl,Engine1968 CC,Max Power141 bhp,Torque320Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,,,
176,2018Skoda Rapid 1.5 TDI Ambition With Alloy Wheel,Skoda,8.75 Lakh*,2018,Dealer,"55,000 kms",First Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
177,2014Skoda Superb Elegance 1.8 TSI MT,Skoda,10.45 Lakh*,2014,Dealer,"1,05,000 kms",First Owner,Petrol,Manual,Mileage13.1 kmpl,Engine1798 CC,Max Power157.75 bhp,Torque250Nm@ 1500-4500rpm,Wheel SizeN/A,Seats5,,,
178,2011Skoda Laura Ambiente 2.0 TDI CR AT,Skoda,7 Lakh*,2011,Dealer,"1,04,099 kms",Third Owner,Diesel,Automatic,Mileage20.0 kmpl,Engine1968 CC,Max Power138.1 bhp,Torque320Nm@ 1750-2500rpm,Wheel Size6.5J x 16,Seats5,,,
179,2011Skoda Laura 1.8 TSI Ambiente,Skoda,4.79 Lakh*,2011,Individual,"80,000 kms",Third Owner,Petrol,Manual,Mileage13.4 kmpl,Engine1798 CC,Max Power157.8 bhp,Torque250Nm@ 1500-4500rpm,Wheel Size6.5J x 15,Seats5,,,
180,2014Skoda Rapid 1.5 TDI Elegance Plus,Skoda,5.5 Lakh*,2014,Dealer,"81,018 kms",First Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
181,2013Skoda Superb 2.5 TDi AT,Skoda,8.5 Lakh*,2013,Dealer,"90,000 kms",First Owner,Diesel,Automatic,Mileage11.9 kmpl,Engine2496 CC,Max Power163.2 bhp,"Torque35.7@ 1,250(kgm@ rpm)",Wheel Size16 x 7J,Seats5,,,
182,2014Skoda Superb Zeal Elegance 2.0 TDI CR AT,Skoda,12.3 Lakh*,2014,Individual,"80,000 kms",Second Owner,Diesel,Automatic,Mileage17.2 kmpl,Engine1968 CC,Max Power138.08 bhp,Torque320Nm@ 1750-2500rpm,Wheel Size7.0J X 16,Seats5,,,
183,2018Skoda Rapid 1.6 MPI Style BSIV,Skoda,9.5 Lakh*,2018,Individual,"15,000 kms",First Owner,Petrol,Manual,Variant -  1.6 MPI Style BSIV,Mileage14.3 kmpl,Engine1598 CC,Max Power103.2 bhp,Torque153Nm@ 3750-3800rpm,Wheel SizeN/A,Seats5,,
184,2016Skoda Rapid 1.5 TDI AT Elegance Plus,Skoda,6.5 Lakh*,2016,Individual,"72,000 kms",First Owner,Diesel,Automatic,Mileage21.66 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
185,2012Skoda Rapid 1.6 TDI Elegance,Skoda,4.4 Lakh*,2012,Individual,"1,38,000 kms",First Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1598 CC,Max Power103.5 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size6.0J X 15,Seats5,,,
186,2012Skoda Rapid 1.5 TDI Elegance,Skoda,4.45 Lakh*,2012,Dealer,"76,000 kms",Second Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
187,2012Skoda Rapid 1.5 TDI Elegance,Skoda,4.45 Lakh*,2012,Dealer,"76,000 kms",Second Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
188,2013Skoda Rapid 1.5 TDI Elegance,Skoda,4.95 Lakh*,2013,Dealer,"80,000 kms",First Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
189,2011Skoda Yeti Ambition 4WD,Skoda,5.5 Lakh*,2011,Individual,"2,50,000 kms",Second Owner,Diesel,Manual,Mileage17.67 kmpl,Engine1968 CC,Max Power138.08 bhp,Torque320Nm@ 1750-2500rpm,Wheel Size7.0J X 16,Seats5,,,
190,2012Skoda Rapid 1.6 TDI Active Plus,Skoda,3.1 Lakh*,2012,Individual,"1,20,000 kms",Third Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1598 CC,Max Power105 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size5.0jXR14,Seats5,,,
191,2009Skoda Laura 1.9 TDI AT Elegance,Skoda,3.5 Lakh*,2009,Individual,"1,72,000 kms",First Owner,Diesel,Automatic,Mileage17.0 kmpl,Engine1896 CC,Max Power105 bhp,Torque250Nm@ 1900rpm,Wheel Size6.5J x 16,Seats5,,,
192,2015Skoda Superb Elegance 1.8 TSI AT,Skoda,13.5 Lakh*,2015,Dealer,"46,000 kms",First Owner,Petrol,Automatic,Variant -  Elegance 1.8 TSI AT,Mileage13.7 kmpl,Engine1798 CC,Max Power157.75 bhp,Torque250Nm@ 1500-4500rpm,Wheel SizeN/A,Seats5,,
