,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
22,2012Mahindra Scorpio VLX 2WD AIRBAG AT BSIV,Mahindra,6.75 Lakh*,2012,Dealer,"1,28,000 kms",First Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,,,
23,2018Mahindra Marazzo M8,Mahindra,12.9 Lakh*,2018,Dealer,"32,446 kms",First Owner,Diesel,Manual,Mileage17.3 kmpl,Engine1497 CC,Max Power121 bhp,Torque300Nm@ 1750-2500rpm,Wheel SizeN/A,Seats7,,,
24,2012Mahindra Xylo E8 ABS BS IV,Mahindra,5.75 Lakh*,2012,Dealer,"45,000 kms",First Owner,Diesel,Manual,Mileage11.68 kmpl,Engine2498 CC,Max Power112 bhp,Torque260Nm@ 1800-2200rpm,Wheel SizeN/A,Seats8,,,
25,2012Mahindra XUV500 W8 2WD,Mahindra,7.95 Lakh*,2012,Dealer,"85,000 kms",Second Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
26,2008Mahindra Scorpio SLX 2.6 Turbo 8 Str,Mahindra,3.85 Lakh*,2008,Dealer,"1,04,248 kms",Second Owner,Diesel,Manual,Mileage10.5 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,,,
27,2010Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,Mahindra,5.45 Lakh*,2010,Dealer,"95,000 kms",Second Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,,,
28,2015Mahindra XUV500 W10 AWD,Mahindra,14 Lakh*,2015,Dealer,"36,000 kms",Second Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
29,2005Mahindra Scorpio 2.6 CRDe,Mahindra,2.5 Lakh*,2005,Individual,"1,20,000 kms",Fourth & Above Owner,Diesel,Manual,Mileage10.5 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,,,
30,2012Mahindra Verito 1.5 D6 BSIV,Mahindra,3.8 Lakh*,2012,Dealer,"73,000 kms",First Owner,Diesel,Manual,Mileage21.03 kmpl,Engine1461 CC,Max Power65 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
31,2015Mahindra Scorpio 1.99 S4 Plus,Mahindra,8.5 Lakh*,2015,Dealer,"71,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine1997 CC,Max Power120 bhp,Torque280Nm@ 1800-2800rpm,Wheel Size17,Seats7,,,
